,Name,Title,Cusip,Ticker,Category,Value,Pct
226,Rusta AB,RUSTA AB,000000000,None,CORP EC,8545102,0.2
227,oOh media Ltd,OOH!MEDIA LTD,000000000,None,CORP EC,8013619,0.1
228,eGuarantee Inc,EGUARANTEE INC,000000000,None,CORP EC,7213728,0.1
229,Knaus Tabbert AG,KNAUS TABBERT AG,000000000,None,CORP EC,5259205,0.1
230,ams-OSRAM AG,AMS-OSRAM AG,000000000,None,CORP EC,4983403,0.1
231,Computer Age Management Services Ltd,COMPUTER AGE MANAGEMENT SERVICES LTD,000000000,None,CORP EC,4460767,0.1
232,Corp Inmobiliaria Vesta SAB de CV,CORP INMOBILIARIA VESTA SAB DE CV,92540K109,None,CORP EC,4261271,0.1
233,ATRenew Inc,ATRENEW INC,00138L108,None,CORP EC,4249540,0.1
234,Mandatum Oyj,MANDATUM OYJ,000000000,None,CORP EC,4121359,0.1
235,Shanghai Conant Optical Co Ltd,SHANGHAI CONANT OPTICAL CO LTD,000000000,None,CORP EC,4109538,0.1
236,Craftsman Automation Ltd,CRAFTSMAN AUTOMATION LTD,000000000,None,CORP EC,3112231,0.1
237,Bloks Group Ltd,BLOKS GROUP LTD,000000000,None,CORP EC,2830647,0.0
238,Sensirion Holding AG,SENSIRION HOLDING AG,000000000,None,CORP EC,2674445,0.0
239,Impro Precision Industries Ltd,IMPRO PRECISION INDUSTRIES LTD,000000000,None,CORP EC,2513472,0.0
240,Tuya Inc,TUYA INC,90114C107,None,CORP EC,2170756,0.0
241,Dexerials Corp,DEXERIALS CORP,000000000,None,CORP EC,1340931,0.0
242,Alvotech SA,ALVOTECH SA,000000000,None,CORP EC,652626,0.0
243,Klabin SA,KLABIN SA,000000000,None,CORP EP,2,0.0
